Cueanexo,id_departamento
20000100,2104
20000200,2104
20000300,2113
20000500,2113
20000700,2109
20000800,2109
20000900,2104
20001000,2104
20001100,2104
20001200,2104
20001700,2113
20001800,2111
20002200,2109
20002300,2109
20002400,2110
20002500,2110
20002600,2113
20002700,2113
20002800,2113
20002900,2104
20003100,2102
20003300,2101
20003400,2102
20003500,2101
20003700,2104
20003701,2104
20003703,2104
20003800,2104
20003900,2104
20004000,2107
20004100,2104
20004200,2104
20004300,2104
20004400,2107
20004600,2115
20004700,2114
20004800,2115
20004900,2104
20005000,2104
20005100,2115
20005300,2104
20005400,2111
20005500,2101
20005600,2103
20005800,2103
20005801,2113
20006300,2101
20006500,2101
20007100,2101
20007200,2101
20007300,2101
20007500,2110
20007501,2110
20007502,2110
20007600,2104
20007700,2104
20007800,2105
20007900,2109
20008200,2102
20008300,2112
20008400,2110
20008500,2110
20008600,2110
20008700,2115
20008900,2104
20009000,2108
20009100,2112
20009500,2114
20009700,2110
20009800,2115
20009900,2112
20010000,2114
20010200,2108
20010300,2108
20010400,2104
20011000,2109
20011100,2109
20011200,2109
20011300,2109
20011400,2106
20011500,2110
20011600,2112
20011700,2107
20011800,2101
20012000,2101
20012100,2101
20012300,2114
20012301,2114
20012500,2114
20012600,2113
20012700,2114
20012800,2114
20012900,2113
20013000,2115
20013500,2104
20013600,2112
20013800,2112
20013900,2107
20014000,2111
20014100,2107
20014200,2111
20014300,2111
20014400,2111
20014500,2111
20014600,2101
20015000,2104
20015200,2115
20015300,2108
20015400,2104
20015500,2107
20015700,2107
20015800,2105
20015801,2106
20015900,2115
20016000,2115
20016100,2111
20016300,2111
20016500,2107
20016600,2111
20016700,2111
20016800,2111
20016900,2107
20017000,2107
20017400,2103
20017500,2114
20017700,2110
20017701,2110
20017702,2110
20017800,2110
20018100,2111
20018400,2109
20018500,2109
20018600,2109
20018700,2109
20018701,2109
20018702,2109
20018800,2114
20018900,2114
20019000,2114
20019200,2107
20019300,2110
20019400,2107
20019600,2110
20019800,2111
20019900,2111
20020100,2114
20020200,2115
20020300,2115
20020600,2112
20020700,2112
20020800,2112
20020900,2115
20021200,2114
20021300,2113
20021400,2105
20021500,2111
20021600,2111
20021700,2113
20021800,2113
20021900,2111
20022000,2111
20022001,2107
20022002,2107
20022003,2107
20022100,2115
20022300,2115
20022400,2115
20022500,2115
20023000,2112
20023100,2112
20023200,2101
20023300,2101
20023400,2115
20023500,2115
20023600,2105
20023700,2112
20023900,2114
20023901,2113
20024000,2111
20024800,2102
20024900,2101
20024902,2101
20024903,2101
20025000,2101
20025100,2101
20025300,2107
20025400,2108
20025500,2108
20025600,2105
20026400,2113
20026800,2108
20027300,2103
20027400,2108
20027500,2108
20027600,2109
20027800,2108
20027804,2108
20027900,2108
20028100,2113
20028300,2106
20028500,2108
20028600,2108
20028700,2103
20028900,2103
20029000,2103
20029001,2103
20029002,2103
20029300,2102
20029400,2103
20029401,2103
20029500,2102
20029600,2104
20029700,2104
20029800,2104
20029900,2112
20030200,2107
20030300,2107
20030400,2110
20030500,2105
20030700,2105
20030900,2101
20030902,2101
20031100,2101
20031700,2113
20031900,2113
20032400,2112
20032500,2112
20032800,2109
20032900,2105
20033000,2109
20033100,2109
20033300,2113
20033400,2104
20033500,2114
20033600,2114
20033601,2114
20033602,2114
20034100,2112
20034200,2110
20034400,2107
20034401,2107
20034402,2107
20034403,2107
20034900,2112
20035000,2112
20035100,2111
20035200,2115
20035300,2115
20035400,2102
20035500,2102
20035600,2102
20035800,2113
20036100,2102
20036200,2108
20036300,2112
20036400,2115
20036600,2106
20036601,2108
20036800,2106
20037000,2115
20037200,2110
20037900,2106
20038000,2107
20038100,2108
20038200,2107
20038300,2112
20038600,2105
20038700,2112
20039800,2107
20039900,2111
20040000,2107
20040100,2113
20040200,2105
20040300,2107
20040400,2105
20040700,2103
20041000,2103
20041100,2104
20041200,2103
20041300,2110
20041400,2113
20041500,2113
20041700,2110
20041800,2104
20041900,2107
20042000,2105
20042100,2113
20042200,2104
20042400,2101
20042500,2103
20042600,2108
20042700,2112
20042800,2111
20043300,2108
20043700,2114
20043800,2103
20043900,2103
20044000,2111
20044100,2104
20044200,2104
20044400,2107
20044401,2107
20044402,2107
20044600,2105
20044700,2111
20045100,2115
20045500,2104
20045600,2101
20045700,2101
20045800,2105
20046000,2113
20046100,2113
20046200,2110
20046300,2112
20046400,2106
20046700,2113
20046702,2113
20046703,2113
20046900,2101
20047000,2104
20047200,2104
20047300,2104
20047400,2104
20047600,2104
20047700,2104
20047800,2115
20047900,2114
20048100,2102
20048300,2114
20048400,2104
20048500,2104
20048600,2111
20048700,2107
20048900,2113
20049000,2115
20049100,2103
20049200,2103
20049300,2115
20049400,2115
20049500,2111
20049600,2113
20049700,2112
20049900,2104
20050000,2113
20050200,2113
20050300,2104
20050400,2101
20050600,2103
20050800,2104
20050900,2101
20051100,2113
20051200,2109
20051300,2109
20051400,2109
20051600,2115
20051800,2115
20051900,2115
20052000,2104
20052100,2104
20052300,2104
20052400,2103
20052500,2101
20052600,2113
20052700,2113
20052800,2101
20053000,2113
20053100,2113
20053200,2113
20053300,2112
20053400,2113
20053500,2113
20053600,2101
20053601,2108
20053602,2101
20053900,2105
20054000,2104
20054100,2104
20054200,2104
20054300,2101
20054400,2115
20054500,2115
20054600,2115
20055400,2110
20055401,2110
20055402,2110
20055403,2109
20055404,2109
20055500,2103
20055600,2109
20055700,2110
20055800,2113
20055900,2113
20056000,2112
20056100,2101
20056200,2101
20056300,2103
20056400,2101
20056500,2101
20056600,2104
20056700,2107
20056800,2101
20057000,2108
20057100,2108
20057200,2102
20057500,2115
20057800,2103
20057900,2103
20058000,2103
20058001,2103
20058100,2115
20058200,2115
20058300,2101
20058400,2101
20058401,2104
20058500,2113
20058800,2113
20058900,2104
20059200,2113
20059300,2115
20059400,2112
20059500,2104
20059600,2104
20059800,2115
20059900,2112
20060000,2104
20060100,2104
20060200,2102
20060300,2103
20060500,2103
20060600,2104
20060700,2101
20061100,2107
20061200,2107
20061300,2107
20061400,2112
20061500,2115
20061600,2107
20061700,2101
20061701,2101
20061703,2104
20061704,2104
20061800,2111
20061900,2112
20062000,2104
20062100,2104
20062200,2113
20062300,2104
20062400,2113
20062800,2101
20062900,2101
20063000,2101
20063100,2101
20063200,2101
20063300,2101
20063500,2103
20063700,2108
20063800,2108
20063900,2108
20064100,2108
20064200,2102
20064300,2103
20064400,2103
20064500,2102
20064600,2114
20064700,2114
20064800,2102
20064900,2108
20065000,2101
20065200,2103
20065300,2115
20065400,2104
20065500,2105
20065600,2105
20065800,2105
20065900,2103
20066000,2105
20066100,2105
20066200,2110
20066300,2109
20066400,2110
20066600,2108
20066700,2108
20066800,2108
20066900,2108
20067000,2102
20067200,2108
20067300,2102
20067400,2112
20067500,2102
20067600,2104
20067700,2110
20067800,2110
20068000,2110
20068100,2110
20068300,2110
20068400,2110
20068500,2105
20068600,2115
20068700,2115
20068900,2115
20069000,2103
20069100,2103
20069200,2103
20069400,2110
20069500,2110
20069502,2110
20069504,2110
20069600,2102
20069900,2102
20070000,2102
20070100,2108
20070200,2104
20070300,2108
20070400,2101
20070500,2108
20070600,2112
20070601,2112
20070602,2112
20070603,2112
20070700,2112
20070800,2114
20070900,2114
20071000,2114
20071100,2108
20071300,2102
20071302,2102
20071303,2102
20071400,2114
20071500,2102
20071600,2114
20071700,2114
20071800,2114
20072000,2103
20072100,2102
20072300,2110
20072400,2112
20072600,2112
20072700,2115
20072800,2115
20072900,2114
20073000,2114
20073100,2114
20073200,2115
20073300,2114
20073500,2115
20073600,2108
20073700,2109
20073701,2109
20073702,2109
20073703,2109
20073800,2109
20073900,2114
20074000,2114
20074100,2103
20074200,2103
20074300,2114
20074400,2102
20074500,2110
20074600,2110
20074700,2102
20074800,2101
20074900,2101
20075100,2110
20075300,2106
20075500,2106
20075600,2106
20075700,2112
20075800,2115
20076000,2109
20076100,2110
20076200,2109
20076300,2109
20076500,2106
20076600,2105
20076700,2106
20076800,2101
20076900,2101
20077000,2104
20077200,2104
20077400,2110
20077500,2110
20077600,2110
20077800,2110
20077900,2107
20078000,2109
20078100,2110
20078300,2112
20078400,2112
20078500,2112
20078600,2107
20078900,2101
20079000,2101
20079100,2101
20079400,2101
20079500,2101
20079700,2110
20079900,2113
20080000,2114
20080001,2113
20080002,2114
20080300,2114
20080500,2113
20080800,2114
20080900,2114
20081000,2114
20081100,2114
20081300,2114
20081400,2114
20081600,2103
20081800,2103
20082000,2107
20082200,2112
20082300,2112
20082400,2112
20082500,2112
20082600,2112
20082800,2106
20082900,2107
20083000,2107
20083100,2107
20083200,2107
20083300,2107
20083400,2107
20083500,2114
20083800,2104
20083900,2103
20084000,2103
20084300,2104
20084500,2112
20084600,2107
20084800,2107
20084801,2111
20084802,2111
20084803,2111
20084804,2107
20084900,2111
20085000,2111
20085200,2105
20085400,2105
20085500,2105
20085600,2111
20085900,2111
20086000,2111
20086200,2111
20086400,2103
20086500,2103
20086600,2103
20086700,2101
20086800,2102
20086900,2101
20087000,2101
20087100,2106
20087200,2106
20087201,2106
20087202,2105
20087300,2106
20087400,2115
20087500,2108
20087600,2106
20087700,2106
20087800,2111
20087900,2105
20087902,2115
20087903,2106
20088000,2106
20088100,2115
20088200,2106
