id,Localidad
6218006,DON CIPRIANO
6371011,SAN ANDRES
6371001,BARRIO PARQUE GENERAL SAN MARTIN
6049007,CACHARI
6655001,ALVAREZ JONTE
6655005,PIPINAS
6476022,LICENCIADO MATIENZO
6231008,DAIREAUX
6791037,MARIA IGNACIA
6588002,9 DE JULIO
6077024,VIÑA
6014008,JUAN E BARRA
6749038,SAN FERNANDO - ISLAS
6084017,VILLA CACIQUE
6854011,GOBERNADOR UGARTE
6134009,GOBERNADOR UDAONDO
6672024,RAUCH
6274005,FLORENCIO VARELA
6007023,LEUBUCO
6189029,LOMA CHATA
6476032,LA FLORESTA
6574008,JOSE JUAN ALMEYRA
6147002,BELLOCQ
6238024,SOL DE MAYO
6539005,MERLO
6441060,RINGUELET
6441057,MANUEL B. GONNET
6707020,SALADILLO
6035007,GERLI
6805020,ISLAS
6112008,GENERAL O'BRIEN
6301013,SAN MARTIN
6175013,SARASA
6819021,TORNQUIST
6826030,TRONGE
6399011,GUAMINI
6875019,JUAN COUSTE
6588028,PATRICIOS
6602003,CARDENAL CAGLIERO
6182002,BAJO HONDO
6588046,LA NI¥A
6168022,LA INDIA MUERTA
6826012,FRANCISCO DE VITORIA
6049028,MANANTIALES DE PEREDA
6588001,12 DE OCTUBRE
6679005,CONDARCO
6063019,LA ESPERANZA
6693005,EL DESCANSO
6756002,BECCAR
6623021,LA VIOLETA
6070016,SANTA COLOMA
6693019,SANTIAGO LARRE
6308007,LA UNION
6231033,LA PROSPERIDAD
6735012,LA ROSADA
6791034,LAS NUMANCIAS
6588015,EL TEJAR
6385008,LA DELFINA
6672033,SANTA ADELA
6112025,MAXIMO FERNANDEZ
6105001,30 DE DICIEMBRE
6351001,COLONIA SAN RICARDO
6497008,LEZICA Y TORREZURI
6308005,LA ESPERANZA
6476035,PUERTA DEL DIABLO
6882016,ISLA BOTIJA
6588055,LA CORONA
6021006,CORONEL SEGUI
6021025,CUARTEL V
6371998,DESCONOCIDO
10021031,LAS PAMPITAS
10021001,AGUA DE LAS PALOMAS
10070040,EL TALA
10084033,GUANACO YACO
10098038,LOS MOLLES
10035003,AMPUJACO
10035049,LAS CUEVAS
10105006,ANTINACO
10070023,EL BOSQUECILLO
10070139,EL CHAGUARAL
10014007,CASA ARMADA
10049017,BANDA DE VARELA
10042002,BALDE DE LA PUNTA
10021040,VILLA VIL
14119008,COSTASACATE
14119012,LAGUNA LARGA
14077028,LOS TALARES
14028070,LOS PATAYES
14126073,SANTA MARIA
14091008,CAPILLA DEL MONTE
14063001,ALEJO LEDESMA
14098054,LAS ACEQUIAS
14098122,SAN AMBROSIO
14049019,ESQUINA DEL ALAMBRE
14168028,LOS COMETIERRA
14168042,SINSACATE
14084011,GUARDIA VIEJA
14063065,CAMPO LA ALBINA
14056019,PACHECO DE MELO
14098060,LAS HIGUERAS
14119106,CAMPO ASINARI
14175031,PUESTO DE CEJAS
14070025,RARA FORTUNA
14084030,COLONIA FABRICA N° 3
14126019,LAS RABONAS
14133019,EL BARRIAL
14140081,LAS VARAS
14161028,CAMPO NIGRO NORTE
14028079,PASO VIEJO
14028087,RIO SECO
14028099,TUCLAME
14098063,LAS TAPIAS
14098093,VILLA EL CHACAY
14105079,VILLA FONTANA
14140135,COLONIA FRONTERA NORTE
14140053,EL DESQUITE
14028004,ALTO DE LOS QUEBRACHOS
14021073,SALSIPUEDES
14112019,LOS HOYOS
14035026,COLONIA LA JUANITA
14063016,GUATIMOZIN
14007066,CERRO CHAMPAQUI
14147096,CAMPO BUENA ESPERANZA
14126047,VILLA RAFAEL BENEGAS
