anio,id_departamento,clae6,Empleo_Varones,Empleo_Mujeres,Establecimientos_Varones,Establecimientos_Mujeres,empresas_exportadoras
2022,6560,452910,5,1,3,1,0
2022,6560,452990,32,1,12,1,0
2022,6560,453100,53,11,11,5,0
2022,6560,453210,24,3,6,3,0
2022,6560,453291,86,4,31,3,0
2022,6560,453292,10,6,1,1,0
2022,6560,454010,19,4,4,2,0
2022,6560,461032,15,19,2,3,0
2022,6560,461040,11,8,1,1,0
2022,6560,461094,10,3,2,2,0
2022,6560,461099,7,6,3,2,0
2022,6560,462190,1,1,1,1,0
2022,6560,463112,38,5,4,2,0
2022,6560,463151,7,3,3,1,0
2022,6560,463154,3,2,1,2,0
2022,6560,463160,147,50,10,6,2
2022,6560,463170,20,3,5,1,0
2022,6560,463180,221,62,10,9,6
2022,6560,463199,186,69,23,15,0
2022,6560,463219,10,2,2,1,0
2022,6560,463220,216,27,3,3,0
2022,6560,463300,4,4,2,1,0
2022,6560,464111,4,1,2,1,0
2022,6560,464129,1,2,1,1,0
2022,6560,464149,9,3,2,2,0
2022,6560,464150,5,3,2,2,0
2022,6560,464223,9,5,6,4,0
2022,6560,464310,10,1,3,1,2
2022,6560,464320,39,13,5,3,0
2022,6560,464410,2,1,1,1,0
2022,6560,464610,6,8,1,1,0
2022,6560,464632,6,1,3,1,0
2022,6560,464920,23,11,7,2,0
2022,6560,464930,1,1,1,1,0
2022,6560,464999,8,8,4,2,0
2022,6560,465220,1,1,1,1,0
2022,6560,465310,60,26,3,2,0
2022,6560,465390,128,65,7,6,6
2022,6560,465990,20,3,3,3,0
2022,6560,466121,34,2,3,2,0
2022,6560,466200,51,3,5,3,2
2022,6560,466310,14,1,2,1,0
2022,6560,466320,16,2,4,2,0
2022,6560,466330,32,8,7,3,0
2022,6560,466350,16,1,1,1,0
2022,6560,466391,3,2,1,1,2
2022,6560,466399,73,18,8,5,0
2022,6560,466932,13,2,2,1,0
2022,6560,466939,3,1,1,1,2
2022,6560,469090,211,25,12,6,2
2022,6560,471110,359,244,10,10,20
2022,6560,471120,330,199,30,25,6
2022,6560,471130,72,42,25,25,0
2022,6560,471190,17,37,11,21,0
2022,6560,471900,20,11,2,2,0
2022,6560,472112,22,4,7,3,0
2022,6560,472120,18,18,9,16,0
2022,6560,472130,66,12,26,10,0
2022,6560,472140,31,5,8,3,0
2022,6560,472150,1,1,1,1,0
2022,6560,472160,5,3,3,2,0
2022,6560,472171,47,45,19,14,0
2022,6560,472172,6,5,3,3,0
2022,6560,472190,84,63,28,24,0
2022,6560,472200,2,1,2,1,0
2022,6560,473000,273,268,33,32,0
2022,6560,474010,7,4,4,4,0
2022,6560,474020,13,13,6,7,0
2022,6560,475190,4,8,4,7,0
2022,6560,475210,24,10,9,4,0
2022,6560,475220,17,2,3,2,0
2022,6560,475230,76,11,32,10,0
2022,6560,475240,70,1,22,1,0
2022,6560,475250,8,2,3,2,0
2022,6560,475260,6,1,1,1,0
2022,6560,475270,3,1,2,1,0
2022,6560,475290,182,37,38,16,0
2022,6560,475300,105,46,15,11,0
2022,6560,475410,36,17,7,7,0
2022,6560,475420,11,10,3,5,0
2022,6560,475430,59,14,7,4,0
2022,6560,475440,8,18,5,9,0
2022,6560,475490,60,14,4,4,0
2022,6560,476110,12,7,2,4,0
2022,6560,476130,23,15,9,10,0
2022,6560,476310,23,8,5,4,0
2022,6560,476400,32,45,11,12,0
2022,6560,477110,4,11,2,4,0
2022,6560,477120,1,4,1,2,0
2022,6560,477130,1,11,1,5,0
2022,6560,477140,9,11,3,5,0
2022,6560,477190,33,129,15,55,0
2022,6560,477220,12,58,8,14,0
2022,6560,477230,10,15,7,8,0
2022,6560,477310,91,254,31,52,0
2022,6560,477320,87,138,10,20,4
2022,6560,477330,3,6,2,2,0
2022,6560,477410,2,19,1,10,0
2022,6560,477420,1,7,1,5,0
2022,6560,477440,7,4,4,1,0
2022,6560,477450,23,10,11,8,0
2022,6560,477460,42,4,6,1,0
2022,6560,477470,13,8,5,6,0
2022,6560,477490,26,6,10,4,2
2022,6560,479101,4,2,2,2,0
2022,6560,479900,8,4,6,2,0
2022,6560,491110,71,13,5,4,0
2022,6560,491200,32,1,2,1,0
2022,6560,492110,1607,22,5,2,0
2022,6560,492120,10,6,5,4,0
2022,6560,492190,6,1,3,1,0
2022,6560,492229,84,26,5,1,0
2022,6560,492250,87,2,3,1,0
2022,6560,492280,261,9,30,4,0
2022,6560,492290,532,38,67,14,0
2022,6560,521010,15,2,1,1,0
2022,6560,522099,24,1,2,1,0
2022,6560,523090,175,6,23,5,0
2022,6560,524120,2,1,2,1,0
2022,6560,524190,6,1,3,1,0
2022,6560,530010,51,15,5,4,5
2022,6560,530090,3,1,1,1,0
2022,6560,551010,28,78,8,10,0
2022,6560,551022,3,14,2,2,0
2022,6560,552000,1,1,1,1,0
2022,6560,561011,34,31,12,11,0
2022,6560,561013,135,230,20,19,4
2022,6560,561014,8,5,3,3,0
2022,6560,561019,147,149,27,33,4
2022,6560,561020,6,2,4,1,0
2022,6560,561030,24,7,13,6,0
2022,6560,562010,18,12,8,6,0
2022,6560,562091,4,15,2,2,0
2022,6560,562099,4,3,2,1,0
2022,6560,591300,23,30,2,2,2
2022,6560,602200,13,2,2,2,0
2022,6560,611090,35,16,2,3,5
2022,6560,612000,3,1,2,1,3
2022,6560,620100,11,4,6,4,0
2022,6560,620900,2,4,1,2,2
2022,6560,631190,17,14,1,1,0
2022,6560,641100,3,1,1,1,0
2022,6560,641910,5,2,1,2,0
2022,6560,641930,43,56,9,9,0
2022,6560,649220,7,13,3,3,0
2022,6560,649290,7,12,2,3,0
2022,6560,649999,1,1,1,1,0
2022,6560,651220,2,1,1,1,0
2022,6560,651310,39,76,8,10,0
2022,6560,661999,3,3,3,2,0
2022,6560,662020,9,26,6,14,0
2022,6560,681010,3,1,2,1,0
2022,6560,681098,47,16,22,12,0
2022,6560,681099,4,2,2,1,0
2022,6560,682099,13,8,4,5,0
2022,6560,691001,7,11,5,7,0
2022,6560,691002,2,18,2,9,0
2022,6560,692000,6,23,4,12,0
2022,6560,702091,5,4,4,2,0
2022,6560,702092,5,12,3,5,0
2022,6560,702099,23,9,2,4,0
2022,6560,711001,45,4,12,3,0
2022,6560,711003,5,1,2,1,0
2022,6560,711009,18,2,4,1,0
2022,6560,749009,4,2,2,2,0
2022,6560,750000,5,13,4,7,0
2022,6560,773090,2,1,2,1,1
2022,6560,780000,509,113,38,24,0
2022,6560,791100,4,13,4,6,0
2022,6560,791200,1,2,1,1,0
2022,6560,791909,13,1,2,1,0
2022,6560,801090,394,25,25,7,0
2022,6560,812010,167,150,25,33,0
2022,6560,812020,3,1,1,1,0
2022,6560,812090,24,22,8,9,0
2022,6560,813000,70,1,3,1,0
2022,6560,821100,1,2,1,1,0
2022,6560,821900,3,2,2,1,0
2022,6560,829100,3,3,2,2,0
2022,6560,829900,184,81,33,37,1
2022,6560,841100,9,9,3,2,0
2022,6560,841900,31,16,3,4,0
2022,6560,851020,878,2810,52,55,0
2022,6560,852100,41,101,2,2,0
2022,6560,853100,18,58,1,1,0
2022,6560,854910,2,17,1,1,0
2022,6560,854920,1,1,1,1,0
2022,6560,854990,7,35,5,5,0
2022,6560,861010,73,199,1,1,0
2022,6560,862110,1,9,1,9,0
2022,6560,862120,2,2,2,1,0
2022,6560,862200,6,48,1,17,0
2022,6560,863110,8,29,1,7,0
2022,6560,863120,13,22,4,4,0
2022,6560,863200,32,65,9,8,2
2022,6560,863300,5,5,1,3,0
2022,6560,864000,42,17,7,4,0
2022,6560,869010,3,19,1,2,0
2022,6560,869090,76,322,14,33,0
2022,6560,870100,12,43,2,1,0
2022,6560,870210,2,36,2,10,0
2022,6560,870220,21,64,3,4,0
2022,6560,880000,39,78,4,5,0
2022,6560,920001,12,56,11,30,0
2022,6560,920009,133,98,3,7,0
2022,6560,931010,41,22,5,3,0
2022,6560,931020,24,17,6,7,0
2022,6560,931090,1,1,1,1,0
2022,6560,939090,23,18,4,5,0
2022,6560,941100,9,12,2,3,0
2022,6560,941200,4,9,2,3,0
2022,6560,942000,197,150,19,19,0
2022,6560,949100,64,96,8,7,1
2022,6560,949910,2,6,2,2,0
2022,6560,949920,110,38,21,9,0
2022,6560,949990,325,269,31,30,0
2022,6560,960201,2,3,1,2,0
2022,6560,960202,1,16,1,9,0
2022,6560,960300,4,4,3,2,0
2022,6560,960990,27,8,11,6,0
2022,6568,11119,7,2,4,1,2
2022,6568,11211,5,2,4,2,0
2022,6568,14113,38,4,19,4,0
2022,6568,14114,2,1,2,1,0
2022,6568,14510,13,4,2,2,0
2022,6568,14610,5,1,2,1,0
2022,6568,14810,25,4,4,1,0
2022,6568,14820,3,1,1,1,0
2022,6568,16291,3,1,1,1,0
2022,6568,51000,13,13,1,1,0
2022,6568,101011,159,12,7,3,1
2022,6568,101012,33,1,6,1,0
2022,6568,101030,51,8,6,4,0
2022,6568,103012,122,42,1,1,2
2022,6568,103091,3,1,2,1,0
2022,6568,104011,13,3,1,1,2
2022,6568,105020,10,5,1,1,0
2022,6568,105030,51,9,9,2,0
2022,6568,106131,104,30,1,1,0
2022,6568,106139,16,2,1,1,0
2022,6568,107110,210,89,5,6,5
2022,6568,107121,1,2,1,1,0
2022,6568,107129,131,92,32,32,0
2022,6568,107309,11,12,6,5,0
2022,6568,107410,79,39,13,12,0
2022,6568,107500,7,8,4,3,0
2022,6568,107912,6,1,1,1,0
2022,6568,107991,2,1,1,1,0
2022,6568,107999,299,142,14,15,4
2022,6568,110411,16,1,4,1,0
2022,6568,110412,122,11,8,5,0
2022,6568,131131,108,65,2,2,4
2022,6568,131132,392,35,6,3,4
2022,6568,131139,1,1,1,1,0
2022,6568,131209,19,6,3,4,0
2022,6568,131300,42,6,4,3,0
2022,6568,139100,5,5,2,3,2
2022,6568,139201,5,8,2,1,2
2022,6568,139204,10,1,1,1,0
2022,6568,139209,64,7,6,4,0
2022,6568,139400,12,2,1,1,0
2022,6568,139900,313,133,25,19,5
2022,6568,141110,4,26,1,2,0
2022,6568,141120,3,3,1,2,0
2022,6568,141130,4,61,2,8,6
2022,6568,141191,3,2,1,2,0
2022,6568,141199,45,74,19,30,2
2022,6568,143010,57,4,2,2,0
2022,6568,143020,5,5,1,1,2
2022,6568,151200,16,9,6,3,2
2022,6568,152011,115,107,8,7,0
2022,6568,152021,61,22,8,9,0
2022,6568,152031,4,4,2,2,2
2022,6568,152040,8,2,2,2,0
2022,6568,161001,10,4,2,1,0
2022,6568,162201,25,2,4,1,0
2022,6568,162300,41,5,2,2,2
2022,6568,162901,5,1,1,1,0
2022,6568,170201,192,35,1,1,2
2022,6568,170202,36,11,5,1,0
2022,6568,170910,38,6,8,3,2
2022,6568,170990,82,29,9,9,5
2022,6568,181109,150,36,16,5,4
2022,6568,181200,23,4,11,4,0
2022,6568,202200,14,4,3,2,0
2022,6568,202320,21,27,3,4,3
2022,6568,202907,9,2,1,1,2
2022,6568,202908,170,33,11,5,8
2022,6568,210010,76,58,4,4,4
2022,6568,210020,69,36,2,2,4
2022,6568,221901,105,6,1,1,2
2022,6568,221909,47,45,7,5,2
2022,6568,222010,114,10,15,7,4
2022,6568,222090,916,100,60,30,11
2022,6568,239591,2,1,1,1,0
2022,6568,239592,24,7,2,2,0
2022,6568,239600,80,9,6,5,1
2022,6568,239900,75,11,3,2,2
2022,6568,241001,30,5,2,2,0
2022,6568,241009,240,24,10,10,8
2022,6568,242090,27,3,3,2,0
2022,6568,251101,48,6,9,5,0
2022,6568,251102,45,10,8,4,2
2022,6568,251200,53,15,3,2,2
2022,6568,259100,19,2,5,2,0
2022,6568,259200,47,9,6,4,0
